id,loan_amnt,funded_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,mths_since_last_delinq,open_acc,revol_bal,total_acc,out_prncp,total_pymnt,total_rec_prncp,total_rec_int,loan_performance
571203,18000,18000, 60 months,10.16,383.87,10+ years,MORTGAGE,72804.0,Current,credit_card,MA,16.73,0.0,1995-12-27 02:06:00,,21.0,8751.0,49.0,13263.18,7273.77,4736.82,2536.95,Good
641849,13200,13200, 36 months,18.49,480.47,2 years,RENT,110000.0,Current,debt_consolidation,IL,17.02,0.0,2000-12-11 11:15:00,29.0,16.0,16062.0,36.0,10546.93,4324.23,2653.07,1671.16,Good
694891,15675,15675, 36 months,8.9,497.74,10+ years,MORTGAGE,100000.0,Current,small_business,WA,9.1,0.0,1994-04-07 12:00:00,,16.0,20650.0,45.0,15294.25,496.78,380.75,116.03,Good
734736,21600,21600, 36 months,7.9,675.87,10+ years,MORTGAGE,95000.0,Fully Paid,house,WI,3.42,0.0,1999-05-05 10:59:00,,9.0,416.0,24.0,0.0,23521.69,21600.0,1921.69,Good
784712,16500,16500, 60 months,7.9,333.78,2 years,MORTGAGE,42000.0,Late (31-120 days),small_business,NY,10.43,0.0,1993-07-16 08:41:00,,9.0,2229.0,17.0,12966.64,5000.85,3533.36,1467.49,Bad
807342,21000,21000, 36 months,6.62,644.78,10+ years,MORTGAGE,121392.0,Current,major_purchase,PA,19.53,0.0,1995-12-17 07:16:00,,18.0,40721.0,37.0,15018.6,7092.58,5981.4,1111.18,Good
843448,5500,5500, 36 months,13.67,187.1,3 years,RENT,55000.0,Fully Paid,debt_consolidation,NJ,20.71,0.0,1987-07-24 12:40:00,,17.0,9486.0,25.0,0.0,5792.14,5500.0,292.14,Good
880114,5600,5600, 36 months,9.99,180.67,1 year,RENT,75000.0,Current,debt_consolidation,NY,8.24,0.0,2004-12-28 12:27:00,24.0,17.0,12188.0,33.0,4918.5,903.35,681.5,221.85,Good
974654,6400,6400, 36 months,15.8,224.38,2 years,RENT,34000.0,Current,debt_consolidation,VA,32.4,0.0,1998-03-15 06:57:00,47.0,6.0,4915.0,15.0,4430.59,2912.26,1969.41,942.85,Good
999547,16000,16000, 36 months,10.16,517.48,Not Specify,RENT,155000.0,Late (31-120 days),debt_consolidation,CA,26.49,0.0,1982-11-25 12:58:00,,18.0,58888.0,35.0,11999.79,5391.45,4000.21,1365.39,Bad
1023119,1400,1400, 36 months,15.96,49.2,3 years,MORTGAGE,67000.0,Fully Paid,home_improvement,NV,19.57,0.0,2004-01-01 12:16:00,61.0,8.0,13806.0,14.0,0.0,1687.48,1400.0,287.48,Good
1034319,10800,10800, 36 months,11.14,354.3,5 years,RENT,57000.0,Current,debt_consolidation,CA,18.32,0.0,1997-05-13 10:54:00,30.0,9.0,21924.0,18.0,7307.12,4605.9,3492.88,1113.02,Good
1042871,6250,6250, 36 months,7.51,194.45,7 years,MORTGAGE,33600.0,Current,debt_consolidation,CA,18.05,0.0,2005-08-13 06:31:00,,7.0,5174.0,10.0,2072.55,4847.25,4177.45,669.8,Good
1050240,5000,5000, 36 months,6.62,153.52,2 years,MORTGAGE,33280.0,Current,credit_card,NV,15.79,0.0,2002-07-21 06:30:00,,12.0,3188.0,21.0,1503.38,3975.77,3496.62,479.15,Good
1055193,7300,7300, 36 months,13.49,247.7,3 years,RENT,50000.0,Current,small_business,FL,19.06,0.0,2006-01-03 09:58:00,,8.0,12026.0,13.0,2554.6,6185.5,4745.4,1440.1,Good
1058291,12000,7775, 60 months,15.27,186.08,7 years,RENT,50000.0,Current,credit_card,VA,5.5,0.0,2003-02-21 07:40:00,,13.0,7008.0,25.0,5125.4,4808.96,2649.6,2159.36,Good
1059509,20000,20000, 60 months,17.27,499.96,10+ years,MORTGAGE,80000.0,Current,debt_consolidation,VA,15.06,0.0,2001-03-04 05:02:00,,11.0,21592.0,30.0,13404.04,12928.21,6595.96,6332.25,Good
1061580,27575,27575, 60 months,12.69,623.05,1 year,RENT,91200.0,Charged Off,credit_card,CA,27.69,0.0,1995-08-04 04:07:00,,13.0,45053.0,29.0,0.0,1866.87,1003.66,863.21,Bad
1063649,17500,16800, 60 months,22.74,471.1,6 years,MORTGAGE,95000.0,Charged Off,debt_consolidation,WA,24.78,0.0,2002-01-30 07:50:00,,12.0,23722.0,23.0,0.0,4704.9,1662.3,3042.6,Bad
1064860,4000,4000, 36 months,14.65,137.98,Not Specify,MORTGAGE,24878.76,Current,credit_card,NV,8.2,0.0,1988-07-13 03:08:00,,6.0,5741.0,11.0,1294.91,3582.8,2705.09,877.71,Good
1065549,11200,11200, 36 months,11.71,370.46,4 years,RENT,82000.0,Current,credit_card,TX,19.08,0.0,1999-12-17 02:54:00,,9.0,24886.0,35.0,3529.42,9611.21,7670.59,1940.62,Good
1066792,35000,35000, 36 months,9.91,1127.88,2 years,OWN,600000.0,Fully Paid,home_improvement,FL,1.97,0.0,1975-05-29 08:34:00,,7.0,0.0,11.0,0.0,36628.86,35000.0,1628.86,Good
1068335,15000,15000, 36 months,12.42,501.23,2 years,MORTGAGE,150000.0,Current,other,NJ,19.46,0.0,1996-09-06 10:01:00,,12.0,53514.0,27.0,4750.5,13016.48,10249.5,2766.98,Good
1069148,11000,11000, 36 months,12.42,367.57,1 year,RENT,22000.0,Current,small_business,CA,9.11,1.0,2004-11-21 05:36:00,22.0,7.0,5219.0,13.0,2275.27,10631.67,8724.73,1906.94,Good
1070084,24000,24000, 36 months,8.9,762.08,7 years,RENT,70000.0,Current,debt_consolidation,NY,9.87,0.0,2000-01-17 05:54:00,,11.0,15386.0,26.0,7325.96,19805.58,16674.04,3131.54,Good
1071186,7200,7200, 36 months,16.29,254.17,2 years,RENT,88800.0,Current,debt_consolidation,MD,18.14,0.0,2002-09-07 09:02:00,66.0,8.0,3246.0,16.0,2366.59,6601.42,4833.41,1768.01,Good
1071862,8000,8000, 36 months,6.03,243.49,7 years,MORTGAGE,60000.0,Fully Paid,credit_card,FL,17.13,0.0,1997-05-03 06:28:00,,18.0,20097.0,28.0,0.0,8293.2,8000.0,293.2,Good
1072789,10400,10400, 36 months,13.49,352.88,< 1 year,RENT,50000.0,Current,credit_card,NY,14.47,0.0,2004-08-29 04:41:00,,11.0,15884.0,13.0,3343.73,9143.88,7056.27,2087.61,Good
1073096,8500,8500, 36 months,11.71,281.15,4 years,OWN,130500.0,Fully Paid,debt_consolidation,NM,13.36,0.0,1999-02-26 12:38:00,69.0,10.0,8356.0,18.0,0.0,9880.55,8500.0,1380.55,Good
1073395,21000,21000, 60 months,19.91,555.33,6 years,RENT,42000.0,Current,debt_consolidation,CA,14.97,0.0,2001-04-14 02:42:00,,5.0,28632.0,12.0,14663.03,13862.75,6336.96,7525.79,Good
1073807,21000,21000, 36 months,8.9,666.82,5 years,MORTGAGE,98000.0,Current,debt_consolidation,FL,10.47,0.0,1999-05-04 07:59:00,,6.0,12954.0,23.0,15165.04,7335.02,5834.95,1500.07,Good
1074076,4000,4000, 36 months,14.27,137.24,4 years,RENT,20500.0,Current,debt_consolidation,AZ,19.26,0.0,1988-10-20 12:18:00,,6.0,10566.0,16.0,1299.05,3551.74,2700.95,850.79,Good
1074374,15000,15000, 36 months,14.27,514.64,10+ years,RENT,75000.0,Current,debt_consolidation,NY,6.53,0.0,2003-08-03 02:45:00,,6.0,15605.0,9.0,4852.17,13344.64,10147.83,3196.81,Good
1074785,4800,4800, 36 months,12.69,161.02,6 years,MORTGAGE,48000.0,Charged Off,home_improvement,NM,4.0,0.0,1999-06-25 08:34:00,,4.0,1361.0,7.0,0.0,1925.64,1398.06,527.58,Bad
